PS_Name,FAC-DCDC Sala de Testes Nominal
PS_Model,4
Num_PS_Modules,1
Command_Interface,0
RS485_Baudrate,115200
RS485_Address,1,30,30,30
RS485_Termination,0
UDCNet_Address,0
Ethernet_IP,10,0,25,43
Ethernet_Subnet_Mask,255,255,255,0
Buzzer_Volume,50
Freq_ISR_Controller,24000
Freq_TimeSlicer,0
Control_Loop_State,0
Max_Ref,150
Min_Ref,-150
Max_Ref_OpenLoop,40
Min_Ref_OpenLoop,-40
PWM_Freq,12000
PWM_DeadTime,0
PWM_Max_Duty,0.9
PWM_Min_Duty,-0.9
PWM_Max_Duty_OpenLoop,0.4
PWM_Min_Duty_OpenLoop,-0.4
PWM_Lim_Duty_Share,0
HRADC_Num_Boards,2
HRADC_Freq_SPICLK,4
HRADC_Freq_Sampling,120000
HRADC_Enable_Heater,0,0,0,0
HRADC_Enable_Monitor,0,0,0,0
HRADC_Type_Transducer,0,0,0,0
HRADC_Gain_Transducer,62.5,30,1,1
HRADC_Offset_Transducer,0,0,0,0
SigGen_Type,2
SigGen_Num_Cycles,1
SigGen_Freq,0
SigGen_Amplitude,0
SigGen_Offset,0
SigGen_Aux_Param,0,0,0,0
WfmRef_ID_WfmRef,0
WfmRef_SyncMode,0
WfmRef_Frequency,8000
WfmRef_Gain,1
WfmRef_Offset,0
Analog_Var_Max,170,200,291,10,625,0
Analog_Var_Min,0,0,150,0,0,0
Hard_Interlocks_Debounce_Time,2000,2000,200000,500000,0,10000,10000
Hard_Interlocks_Reset_Time,10000,10000,1000000,1000000,0,100000,100000
Soft_Interlocks_Debounce_Time,2000,2000,2000,1000000,1000000
Soft_Interlocks_Reset_Time,100000,100000,100000,1001000,1001000
Scope_Sampling_Frequency,2000
Scope_Source,53248
